contentful_id,ext_id,name,type,address,lat,lon,status,atm_cash_in,work_on_weekend,full_day,working_time,weekdays,saturdays,phone,atm_branch_image
lnJo3DLWDpSHsXVRT6vRN,2696,ATM RIM SHR LENKARAN BRANCH-2,ATM,"Lənkəran şəhəri, Ş.Axundov 16 (ABB Lənkəran filialı 24/7 sahə)",38.75390557439271,48.855307446332546,,True,True,,,,,,
R0m5EUpOeSmnd7XkwcC2I,2695,ATM RIM SHR LENKARAN BRANCH-1,ATM,"Lənkəran şəhəri, Ş.Axundov 16 (ABB Lənkəran filialı 24/7 sahə)",38.75390557439271,48.855307446332546,,True,True,,,,,,
7pvBkSg6InkIwXX6TWWovz,2664,ATM CNV H.CAVID ARAZ M WR,ATM,"Yasamal r-nu, H.Cavid pr. 17 A (Araz market Space TV yanı)",40.366844,49.816483,,True,True,,,,,,
tiW8V9iQDv4WtEitiY9IY,2731,ATM RIM XIR SUMGAIT BRANCH-1,ATM,"Sumqayıt, S.Vurğun küçəsi 112, 14-cü məhəllə (ABB Sumqayıt filialı)",40.59359631101007,49.67804053524083,,True,True,,,,,,
4ffXuJ9h9B3aImAPZsPRyK,2670,ATM RIM GEN SHEMKIR BRANCH 2 NR,ATM,"Şəmkir, S.Vurğun küçəsi 131 (ABB-nin Şəmkir filialı)",40.83009862611043,46.02020803764185,,True,True,,,,,,
1UAxU82XLgUtiJHrzgONMe,2597,ATM NAKHCHIVAN FILIAL 2,ATM,"Naxçıvan ş., H.Əliyev prospekti, ev 13A (ABB Naxçıvan filialı)",39.21261274583827,45.4079758807977,,True,True,,,,,,
7j6dJPFtP1CywpJpq9R22o,2706,ATM RIM GUB SHABRAN BRANCH,ATM,"Şabran, H.Əliyev pr. 101 (ABB-nin Şabran filialı)",41.2115994,48.998091,online,True,True,,,,,,
2TavQmcIngT08cQdw7VmwJ,2709,ATM BILASUVAR BRANCH NR,ATM,"Biləsuvar , H.Əliyev prospekti 45 (ABB-nin  Biləsuvar filialı)",39.4557586,48.5452351,,True,,,,,,,https://images.ctfassets.net/rckhx7d9app2/3tzYmCnl6vv3kej9Ha2JIW/d936ddac305990a1aefd21f98acf56b7/6acc01bb-292d-4312-a6d7-329bdcf90354.jpg
DjdReoaZAcOuxqVaoSPtB,2663,ATM CNV OBA M. H.ASLANOV M/S,ATM,"Bakı  ş, Xətai, M.Hadi küçəsi, 384-388 (Oba market)",40.372182,49.952682,,True,,,,,,,
4WOr8LsuSbveP1YzubE2iX,2657,"ATM CNV,FAVORIT MARKET EHMEDLI",ATM,"Bakı, Xətai rayonu, Gəncə pr. 29/42 (Araz market)",40.367433,49.959763,online,True,True,,,,,,
3xCjd9RGurcgFdczpiQTmX,2669,ATM RIM GEN SHEMKIR BRANCH 1,ATM,"Şəmkir, S.Vurğun küçəsi 131 (ABB-nin Şəmkir filialı)",40.83009862611042,46.02020803764185,,True,True,,,,,,
1yA6hD9Hn6YGts3J03rZaL,2525,ATM CNV SOCAR N14 BABEK PR.,ATM,Babək pr. yolun sol tərəfi O.Vəliyev (Socar petrolium N 14 ),40.392745,49.914431,,True,,,,,,,
3oma1qZFv8sg6JLNHFudSk,2526,ATM CNV SOCAR SBC DAIR SAG DN,ATM,"Bakı, Sabunçu rayonu, Sabunçu dairəsi (Socar YDM)",40.439081,49.939152,,True,True,True,24 HOURS,,,937,
2YLA7A4O2PNskIOGbzQcaw,2524,ATM CNV NASIMI ICRA H.,ATM,"Bakı, Nəsimi rayonu, S.Vurğun küçəsi 112 (Nəsimi rayonu İcra Hakimiyyəti)",40.393859446737,49.835175517010924,,True,True,,,,,,
7LmoFoIJtkVZU2IPWucOu7,2562,ATM CNV CHINAR PLAZA,ATM," Nərimanov rayonu, H.Əliyev pr.102",40.414386,49.903652,,True,True,True,,,,,
UpPq8JH6bET050dOS619h,2520,ATM CNV MARDAKAN 26 XASTAXANA ,ATM,"Bakı, Xəzər rayonu , Mərdəkan, R.Qasımov 6 (26 N-li Birləşmiş şəhər xəstəxanası)",40.49150557282489,50.15461603362685,,True,True,True,24 HOUR,,,,
6RBF1ehfxLoRT6PjxnseL5,2541,ATM RIM OGUZ SHEKI STORE,ATM,"Şəki, M.Ə.Rəsulzadə küçəsi (Şəki store)",41.197945433704106,47.17612441655825,,True,True,True,24 Hour,,,,
2gDSdBfGtZNBi1knt1g99i,2678,ATM BARDA BRANCH-1,ATM,"Bərdə,Üzeyir Hacıbəyov  küç, (ABB-nin Bərdə filialı)",40.37407471373152,47.123024988828945,,True,True,True,,,,,
14sH5SGLJ5C5jMwkBCfbM8,2685,ATM TARTAR BRANCH,ATM,"Tərtər, E.Hüseynov küçəsi 3 (ABB Tər-tər filialı)",40.3421718,46.9310682,,True,True,True,,,,,https://images.ctfassets.net/rckhx7d9app2/3124k7u7JuoTIVrkiZT8ng/186c8642554b5ee51928e309a78abb88/908773fc-af8f-4a1d-8b76-3f3d48276122.jpg
4gOxEsaeE5LzCYIJ5cUe6d,1317,ATM ZAQATALA SPAR MARKET,ATM,"Yuxari Tala kəndi. ""Tala"" pr-ti 25",41.62021272305278,46.650598376558676,,False,,,,,,,
4LmfSzoAIHcGtVFo33XrCF,2589,ATM CNV DEMIRCHI PLAZA,ATM,"Bakı, Xətai rayonu , Xocalı pr. 37 (Dəmirçi Plaza - Xətai m/s)",40.382882,49.871873,offline,True,True,,,,,,
4Y186982PeZifDMd4v7VIn,2309,ATM CNV ARAZ MARKET Y.GUNESHLI ,ATM," Suraxanı r., Yeni Günəşli qəs.",40.38362669876616,49.98257632582618,,True,True,True,,,,,https://images.ctfassets.net/rckhx7d9app2/5OUPFnN0xBPewGJJyW6e8/09920e8032605f8c4ab46bbf2c0347ab/2788dc50-e0f6-49a0-822a-bf7969c80fc2.jpg
6yOBfShNRM9BrWTpgDxmXM,2628,ATM CNV AHMADLI BRANCH GRG,ATM,"Bakı, Nizami rayonu, Məhəmməd Hadi küçəsi 155 (ABB-nin Əhmədli filialı)",40.38480385320155,49.954366082275754,,True,True,True,,,,,
4ogmt42mgKDPCTu9Ze7t7i,2518,"ATM NZM,GRANDMART MARKET",ATM,"Bakı, Nizami rayonu, Xalqlar dostluğu dairəsi (Grandmart)",40.398961,49.949841,,True,,,,,,,
4E9bkNQqHj908FUl5ro3rE,2733,ATM SUMGAYIT BRANCH 2,ATM,"Sumqayıt, S.Vurğun küçəsi 112, 14-cü məhəllə (ABB Sumqayıt filialı)",40.59359631101007,49.67804053524083,,False,,,,,,,
155r1cCWQFHL4280QNnmy0,2633,ATM GEBELE BRANCH-1,ATM,"Qəbələ , Qəbələ, İ.Qutqaşınlı küçəsi, 37",40.981172,47.848992,,True,True,,,,,,
4C53Z42BVjgy6EGvs5w8lM,2627,ATM CNV NIZAMI BRANCH 2 GRG,ATM,"Bakı, Nizami rayonu, T.Abbasov və Ə.Hacıyev küç. Kəsişməsi 2453 məhəllə ",40.419056,49.93358,,True,True,True,,,,,
